key,code,moment,startDuration,endDuration,amount,type,emailContact,moreInfo,draftMode,key:project,key:sponsor
sponsorship-01,XYZ-071,2021/05/20 4:00,2021/01/30 15:00,2021/09/30 12:00,EUR 30000.3,INKIND,sponsor01@acme.com,https://example.com,true,project-01,sponsor-01
sponsorship-02,YZ-072,2021/06/21 12:00,2021/02/28 20:00,2021/10/01 11:00,EUR 25000.3,FINANCIAL,sponsor02@acme.com,https://acme43.com,false,project-02,sponsor-02
sponsorship-03,MNO-073,2021/07/22 0:00,1985/05/01 13:00,1990/10/02 14:00,EUR 30000.4,INKIND,,,false,project-03,sponsor-01
sponsorship-04,DEF-074,1898/03/23 6:00,2021/03/02 11:00,2021/10/03 15:00,EUR 5000.0,INKIND,sponsor04@acme.com,https://acme2.com,false,project-04,sponsor-02
sponsorship-05,ZA-124,2021/07/24 0:00,2021/08/03 13:00,2021/10/04 16:00,EUR 1000.1,FINANCIAL,,,false,project-05,sponsor-01
sponsorship-06,DEF-162,2021/06/25 15:00,2021/08/04 0:00,2021/10/05 0:00,USD 500.0,INKIND,sponsor06@acme.com,https://acme9.com,true,project-06,sponsor-02
sponsorship-07,BC-126,2018/07/26 0:00,2021/08/05 11:00,2021/10/06 17:00,USD 1000.1,FINANCIAL,,,false,project-07,sponsor-01
sponsorship-08,WXY-152,2021/05/27 0:00,2021/08/06 12:00,2021/10/07 18:00,EUR 25000.6,INKIND,sponsor08@acme.com,https://acme8.com,true,project-08,sponsor-02
sponsorship-09,DEF-128,2021/04/28 17:00,2021/08/07 13:00,2021/10/08 19:00,USD 30000.7,INKIND,,,false,project-09,sponsor-01
sponsorship-10,DEF-122,2013/07/29 0:00,2017/02/08 14:00,2021/06/09 20:00,GBP 25000.7,INKIND,sponsor10@acme.com,,false,project-10,sponsor-02
sponsorship-11,DE-130,2003/07/30 19:00,2004/02/09 15:00,2005/10/10 12:00,GBP 20000.8,FINANCIAL,,,false,project-11,sponsor-01
sponsorship-12,DEF-131,2021/07/31 0:00,2016/03/10 16:00,2021/10/11 15:00,EUR 25000.8,FINANCIAL,sponsor12@acme.com,https://acme7.com,false,project-12,sponsor-02
sponsorship-13,EFG-133,2021/08/01 21:00,2021/04/11 13:00,2021/10/12 13:00,USD 2000000.00,INKIND,sponsor13@acme.com,,true,project-13,sponsor-01
sponsorship-14,DEF-133,2021/08/02 0:00,2015/05/12 17:00,2021/10/13 16:00,EUR 2000000.00,FINANCIAL,sponsor14@acme.com,,false,project-01,sponsor-02
sponsorship-15,DEF-134,1989/02/03 18:00,2021/06/13 20:00,2021/10/14 11:00,GBP 25000.10,FINANCIAL,sponsor15@acme.com,https://acme5.com,true,project-02,sponsor-01
sponsorship-16,DEF-135,2021/08/04 0:00,2021/06/14 18:00,2021/10/15 20:00,EUR 25000.10,INKIND,sponsor16@acme.com,https://acme3.com,false,project-03,sponsor-02
sponsorship-17,DEF-136,1997/08/05 18:00,1996/01/15 17:00,2006/10/16 8:00,USD 25000.11,FINANCIAL,sponsor17@acme.com,https://acme2.com,false,project-04,sponsor-01
sponsorship-18,X-137,2021/08/06 0:00,2020/02/16 13:00,2021/10/17 12:01,EUR 25000.11,FINANCIAL,,,false,project-05,sponsor-02
sponsorship-19,DEF-138,2021/08/07 22:00,2021/04/17 13:00,2021/10/18 12:00,EUR 30000.12,INKIND,sponsor19@acme.com,,false,project-06,sponsor-01
sponsorship-20,DEF-178,2021/08/08 0:00,2021/03/18 13:00,2021/10/19 23:59,EUR 25000.12,FINANCIAL,sponsor20@acme.com,https://acme.com,false,project-07,sponsor-02
